iter	Passed	Remaining
0	0	57
1	1	59
2	1	56
3	2	53
4	2	55
5	3	56
6	4	56
7	4	56
8	5	56
9	6	55
10	6	54
11	7	54
12	8	54
13	8	53
14	9	53
15	10	54
16	10	52
17	11	51
18	12	51
19	12	50
20	13	50
21	13	49
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	25
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	12
81	52	11
82	53	10
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
